0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 0.198072	MaxPSpin= 3.605e-12	eKin = 4.10844	eGrav = 3362.98	eTot = 3367.09	
201; time=0.0402	MaxPSpeed= 0.394187	MaxPSpin= 0.0235115	eKin = 8.73797	eGrav = 3353.96	eTot = 3362.7	
301; time=0.0602	MaxPSpeed= 0.533914	MaxPSpin= 0.0573382	eKin = 10.4141	eGrav = 3343.57	eTot = 3353.98	
400; time=0.08	MaxPSpeed= 0.385012	MaxPSpin= 0.0512686	eKin = 6.2195	eGrav = 3334.13	eTot = 3340.35	
500; time=0.1	MaxPSpeed= 0.140318	MaxPSpin= 0.0495255	eKin = 1.18827	eGrav = 3327.9	eTot = 3329.09	
600; time=0.12	MaxPSpeed= 0.0877223	MaxPSpin= 0.0764724	eKin = 0.337055	eGrav = 3326.93	eTot = 3327.27	
700; time=0.14	MaxPSpeed= 0.273771	MaxPSpin= 0.0888688	eKin = 3.77003	eGrav = 3331.38	eTot = 3335.15	
800; time=0.16	MaxPSpeed= 0.392091	MaxPSpin= 0.086923	eKin = 6.83646	eGrav = 3339.31	eTot = 3346.15	
900; time=0.18	MaxPSpeed= 0.374673	MaxPSpin= 0.0638303	eKin = 6.00475	eGrav = 3347.98	eTot = 3353.98	
1000; time=0.2	MaxPSpeed= 0.229711	MaxPSpin= 0.0405872	eKin = 2.40698	eGrav = 3354.83	eTot = 3357.24	
1100; time=0.22	MaxPSpeed= 0.0350793	MaxPSpin= 0.020103	eKin = 0.0602959	eGrav = 3357.93	eTot = 3357.99	
1200; time=0.24	MaxPSpeed= 0.161121	MaxPSpin= 0.0245085	eKin = 1.10555	eGrav = 3356.51	eTot = 3357.62	
1300; time=0.26	MaxPSpeed= 0.287837	MaxPSpin= 0.0422167	eKin = 3.76218	eGrav = 3351.32	eTot = 3355.08	
1400; time=0.28	MaxPSpeed= 0.326559	MaxPSpin= 0.0573407	eKin = 4.75409	eGrav = 3344.21	eTot = 3348.97	
