time n_walls x (FParticle_X FParticle_Y FParticle_Z FHydro_X FHydro_Y FHydro_Z)
0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.01005 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.11096e-07 0 -0.000726367 0 0 0 0 0 0 0 0 0
0.02 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7.6439e-06 0 -0.43532 0 0 0 0 0 0 0 0 0
0.03 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.22313e-05 0 -0.47183 0 0 0 0 0 0 0 0 0
0.04 6 -0.0142979 0 -1.42979e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5.05399e-06 0 -0.386152 0 0 0 0 0 0 0 0 0
0.05 6 -0.071924 0 -3.54879e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000139403 0 -0.532009 0 0 0 0 0 0 0 0 0
0.06 6 -0.28278 0 -0.000197831 0 0 0 0.324873 0 -7.79176e-06 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000153041 0 -0.640814 0 0 0 0 0 0 0 0 0
0.07 6 -0.237784 0 2.54547e-05 0 0 0 0.0900314 0 2.4835e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.1971e-05 0 -1.13435 0 0 0 0 0 0 0 0 0
0.08005 6 -0.460331 0 -0.00031864 0 0 0 0.389421 0 -0.000131976 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8.73235e-05 0 -0.681795 0 0 0 0 0 0 0 0 0
0.09005 6 -0.405914 0 -0.00013318 0 0 0 0.704177 0 3.39942e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000233106 0 -1.31486 0 0 0 0 0 0 0 0 0
