time particleFlowRateX, particleFlowRateY, particleFlowRateZ
0 0 0 0
0.01005 -8.90191e-10 0 -0.00453953
0.02 1.02183e-07 0 -0.00813175
0.03 0.000224527 0 -0.0107781
0.04 0.00137153 0 -0.0135519
0.05 0.00570974 0 -0.0156288
0.06 0.00921774 0 -0.0164541
0.07 0.00984176 0 -0.0147143
0.08005 0.0167992 0 -0.0112938
0.09005 0.0184988 0 -0.00575071
0.10005 -0.00436557 0 -0.00113441
0.11005 0.00546162 0 0.000472865
0.12005 0.00430121 0 -0.00117145
0.13005 0.00193677 0 -0.00188628
0.14005 0.00192103 0 -0.00152839
0.15005 0.00241418 0 -0.000742673
0.16005 0.00646583 0 -0.000776001
0.17005 0.00308601 0 -0.000415984
0.18005 0.00352236 0 -0.000207209
0.19005 0.00206617 0 -0.00034922
0.20005 0.00144907 0 -0.000214005
0.21005 0.00121374 0 -0.000191229
0.22005 0.00134101 0 -8.24471e-06
0.23005 0.000750433 0 -7.19064e-05
0.24005 -0.000344527 0 -0.000126932
0.25005 -0.00132393 0 -4.22838e-05
0.26005 -0.000539934 0 2.60534e-05
0.27005 -0.000488643 0 -2.28997e-05
0.28005 -0.000481283 0 -3.93273e-05
0.29005 -0.000332683 0 3.44273e-05
0.30005 5.02771e-05 0 7.99648e-06
0.31005 0.000226668 0 -6.43908e-05
0.32005 6.47131e-05 0 -3.22239e-06
0.33005 0.000121473 0 2.37619e-05
0.34005 5.88687e-05 0 3.05683e-06
0.35005 -0.000184967 0 -1.76749e-05
0.36005 8.32465e-05 0 3.04264e-05
0.37005 -7.55052e-05 0 -2.20166e-05
0.38005 0.000125473 0 -8.2879e-06
0.39005 -3.95233e-05 0 1.76214e-05
0.40005 0.000146787 0 -2.56656e-05
0.41005 1.32273e-05 0 8.71981e-06
0.42005 -4.55714e-05 0 3.72326e-06
0.43005 9.08892e-06 0 -9.87021e-06
0.44005 -3.54446e-05 0 1.11738e-05
0.45005 0.000116043 0 4.68908e-06
0.46005 6.00914e-05 0 -9.85542e-06
0.47005 0.000166513 0 7.41846e-06
0.48005 3.6653e-05 0 -1.11701e-05
0.49005 0.000120479 0 -2.80345e-06
0.50005 1.59294e-05 0 5.58277e-06
0.51005 -5.47865e-05 0 -1.07655e-05
0.52005 -4.25461e-05 0 -4.29679e-07
0.53005 -2.0667e-05 0 9.23808e-06
0.54005 2.35217e-05 0 3.83583e-06
0.55005 1.90198e-05 0 -8.05741e-06
0.56005 -1.50369e-05 0 1.18967e-06
0.57005 -7.56051e-06 0 -4.40135e-06
0.58005 1.89593e-05 0 2.99937e-06
0.59005 -3.54839e-06 0 1.66348e-05
0.60005 -2.21528e-05 0 -1.3749e-05
0.61005 -1.61897e-05 0 -4.81148e-06
0.62005 4.88923e-05 0 1.13113e-05
0.63005 1.7771e-05 0 -8.98837e-06
0.64005 1.20643e-05 0 -6.07831e-07
0.65005 -5.68156e-05 0 9.22661e-06
0.66005 -2.02061e-05 0 -4.37192e-06
0.67005 1.33158e-05 0 -3.35347e-06
0.68005 3.48095e-05 0 2.11596e-06
0.69005 2.18348e-05 0 -3.57906e-06
0.70005 3.02766e-05 0 9.86886e-08
0.71005 -3.54829e-05 0 6.83638e-06
0.72005 -4.78043e-05 0 -2.68286e-06
0.73005 -1.64639e-05 0 -1.62249e-06
0.74005 3.40891e-05 0 1.70935e-06
0.75005 3.91617e-05 0 -3.64863e-06
0.76005 1.3265e-05 0 4.35538e-06
0.77005 -1.89386e-05 0 -3.02732e-06
0.78005 -3.79654e-05 0 -3.14206e-06
0.79005 -1.98685e-05 0 9.02963e-06
0.80005 2.67952e-05 0 -3.25612e-06
0.81005 3.08619e-05 0 -4.1305e-06
0.82005 2.28173e-06 0 3.96058e-06
0.83005 -1.72457e-05 0 -1.31143e-06
0.84005 -1.6349e-05 0 -1.78261e-06
0.85005 -1.80658e-05 0 2.44191e-06
0.86005 -2.80823e-05 0 -6.46596e-07
0.87005 -4.0639e-05 0 -4.44525e-07
0.88005 -7.1961e-05 0 1.42254e-06
0.89005 -3.41697e-05 0 -1.19318e-06
0.90005 3.63362e-05 0 -2.89563e-09
0.91005 6.13551e-05 0 2.1639e-06
0.92005 3.62488e-05 0 -3.33307e-06
0.93005 -1.80604e-05 0 -1.76282e-06
0.94005 -3.41348e-05 0 -8.8689e-07
0.95005 -5.06175e-05 0 2.99316e-06
0.96005 2.44977e-06 0 4.31962e-06
0.97005 3.85075e-05 0 -3.78616e-06
0.98005 7.18572e-06 0 -3.42505e-06
0.99005 1.78547e-05 0 1.73855e-06
1.00005 1.64056e-05 0 2.54322e-06
1.01005 -1.906e-05 0 -2.15354e-06
1.02005 -3.68083e-05 0 1.28747e-06
1.03005 -1.20413e-05 0 3.06154e-06
1.04005 1.54183e-05 0 -3.60122e-06
