0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 8.67318e-06	MaxPSpin= 0.000473447	eKin = 9.78313e-09	eGrav = 31.1557	eTot = 31.1557	
201; time=0.0402	MaxPSpeed= 1.01313e-06	MaxPSpin= 0.000408844	eKin = 7.00708e-09	eGrav = 31.1557	eTot = 31.1557	
301; time=0.0602	MaxPSpeed= 2.57378e-06	MaxPSpin= 0.000373067	eKin = 5.8646e-09	eGrav = 31.1557	eTot = 31.1557	
400; time=0.08	MaxPSpeed= 3.25502e-06	MaxPSpin= 0.000366796	eKin = 5.69106e-09	eGrav = 31.1557	eTot = 31.1557	
500; time=0.1	MaxPSpeed= 3.00883e-06	MaxPSpin= 0.000369574	eKin = 5.76867e-09	eGrav = 31.1557	eTot = 31.1557	
600; time=0.12	MaxPSpeed= 2.80362e-06	MaxPSpin= 0.000371696	eKin = 5.82829e-09	eGrav = 31.1557	eTot = 31.1557	
700; time=0.14	MaxPSpeed= 2.74175e-06	MaxPSpin= 0.000372301	eKin = 5.84536e-09	eGrav = 31.1557	eTot = 31.1557	
800; time=0.16	MaxPSpeed= 2.7425e-06	MaxPSpin= 0.000372277	eKin = 5.84462e-09	eGrav = 31.1557	eTot = 31.1557	
900; time=0.18	MaxPSpeed= 2.75203e-06	MaxPSpin= 0.000372175	eKin = 5.84174e-09	eGrav = 31.1557	eTot = 31.1557	
1000; time=0.2	MaxPSpeed= 2.75644e-06	MaxPSpin= 0.000372131	eKin = 5.84048e-09	eGrav = 31.1557	eTot = 31.1557	
1100; time=0.22	MaxPSpeed= 2.75709e-06	MaxPSpin= 0.000372125	eKin = 5.84032e-09	eGrav = 31.1557	eTot = 31.1557	
1200; time=0.24	MaxPSpeed= 2.7568e-06	MaxPSpin= 0.000372128	eKin = 5.84041e-09	eGrav = 31.1557	eTot = 31.1557	
1300; time=0.26	MaxPSpeed= 2.75656e-06	MaxPSpin= 0.000372131	eKin = 5.84048e-09	eGrav = 31.1557	eTot = 31.1557	
1400; time=0.28	MaxPSpeed= 2.75648e-06	MaxPSpin= 0.000372132	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
1501; time=0.3002	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.84049e-09	eGrav = 31.1557	eTot = 31.1557	
1601; time=0.3202	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
1701; time=0.3402	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.84049e-09	eGrav = 31.1557	eTot = 31.1557	
1801; time=0.3602	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.84049e-09	eGrav = 31.1557	eTot = 31.1557	
1901; time=0.3802	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2001; time=0.4002	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2101; time=0.4202	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2201; time=0.4402	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2301; time=0.4602	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2401; time=0.4802	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2501; time=0.5002	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2601; time=0.5202	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2701; time=0.5402	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2801; time=0.5602	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
2901; time=0.5802	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
3001; time=0.6002	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
3101; time=0.6202	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
3201; time=0.6402	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
3301; time=0.6602	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
3401; time=0.6802	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
3501; time=0.7002	MaxPSpeed= 2.75651e-06	MaxPSpin= 0.000372131	eKin = 5.8405e-09	eGrav = 31.1557	eTot = 31.1557	
