0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 0.197998	MaxPSpin= 2.75231e-12	eKin = 4.10536	eGrav = 3362.98	eTot = 3367.09	
201; time=0.0402	MaxPSpeed= 0.394099	MaxPSpin= 0.238405	eKin = 8.94563	eGrav = 3353.87	eTot = 3362.82	
301; time=0.0602	MaxPSpeed= 0.534893	MaxPSpin= 0.354948	eKin = 11.3497	eGrav = 3342.95	eTot = 3354.3	
400; time=0.08	MaxPSpeed= 0.414278	MaxPSpin= 0.427541	eKin = 8.23726	eGrav = 3332.31	eTot = 3340.55	
500; time=0.1	MaxPSpeed= 0.210365	MaxPSpin= 0.256817	eKin = 3.21764	eGrav = 3324.07	eTot = 3327.29	
600; time=0.12	MaxPSpeed= 0.150301	MaxPSpin= 0.308845	eKin = 0.622593	eGrav = 3320.01	eTot = 3320.63	
700; time=0.14	MaxPSpeed= 0.139151	MaxPSpin= 0.312511	eKin = 1.02129	eGrav = 3320.21	eTot = 3321.23	
800; time=0.16	MaxPSpeed= 0.214839	MaxPSpin= 0.372263	eKin = 1.94198	eGrav = 3323.25	eTot = 3325.19	
900; time=0.18	MaxPSpeed= 0.196664	MaxPSpin= 0.172828	eKin = 1.59602	eGrav = 3327.1	eTot = 3328.69	
1000; time=0.2	MaxPSpeed= 0.0987027	MaxPSpin= 0.38319	eKin = 0.47542	eGrav = 3329.87	eTot = 3330.34	
1100; time=0.22	MaxPSpeed= 0.0461288	MaxPSpin= 0.266095	eKin = 0.139212	eGrav = 3330.22	eTot = 3330.36	
1200; time=0.24	MaxPSpeed= 0.149601	MaxPSpin= 0.258364	eKin = 1.21442	eGrav = 3327.73	eTot = 3328.95	
1300; time=0.26	MaxPSpeed= 0.226262	MaxPSpin= 0.279027	eKin = 2.68747	eGrav = 3322.89	eTot = 3325.58	
1400; time=0.28	MaxPSpeed= 0.24474	MaxPSpin= 0.302658	eKin = 3.28281	eGrav = 3316.78	eTot = 3320.06	
1501; time=0.3002	MaxPSpeed= 0.209087	MaxPSpin= 0.532488	eKin = 2.7166	eGrav = 3310.64	eTot = 3313.36	
1601; time=0.3202	MaxPSpeed= 0.169698	MaxPSpin= 0.731167	eKin = 1.78107	eGrav = 3305.64	eTot = 3307.42	
1701; time=0.3402	MaxPSpeed= 0.198652	MaxPSpin= 0.855068	eKin = 1.37209	eGrav = 3302.07	eTot = 3303.44	
1801; time=0.3602	MaxPSpeed= 0.246897	MaxPSpin= 1.23075	eKin = 1.52338	eGrav = 3299.67	eTot = 3301.19	
1901; time=0.3802	MaxPSpeed= 0.344731	MaxPSpin= 1.45941	eKin = 2.37456	eGrav = 3297.73	eTot = 3300.1	
2001; time=0.4002	MaxPSpeed= 0.481663	MaxPSpin= 2.26034	eKin = 4.44381	eGrav = 3295.09	eTot = 3299.53	
2101; time=0.4202	MaxPSpeed= 0.590064	MaxPSpin= 3.29126	eKin = 8.79911	eGrav = 3290.44	eTot = 3299.24	
2201; time=0.4402	MaxPSpeed= 0.687863	MaxPSpin= 3.89786	eKin = 16.4443	eGrav = 3282.47	eTot = 3298.92	
2301; time=0.4602	MaxPSpeed= 0.744095	MaxPSpin= 4.29841	eKin = 28.6046	eGrav = 3270.1	eTot = 3298.7	
2401; time=0.4802	MaxPSpeed= 0.866874	MaxPSpin= 4.67577	eKin = 45.9356	eGrav = 3252.59	eTot = 3298.53	
2501; time=0.5002	MaxPSpeed= 1.03948	MaxPSpin= 5.16654	eKin = 68.4854	eGrav = 3229.83	eTot = 3298.32	
2601; time=0.5202	MaxPSpeed= 1.21986	MaxPSpin= 5.60401	eKin = 96.3822	eGrav = 3201.83	eTot = 3298.21	
2701; time=0.5402	MaxPSpeed= 1.40449	MaxPSpin= 5.96301	eKin = 129.757	eGrav = 3168.41	eTot = 3298.17	
2801; time=0.5602	MaxPSpeed= 1.59189	MaxPSpin= 6.2155	eKin = 168.713	eGrav = 3129.45	eTot = 3298.17	
2901; time=0.5802	MaxPSpeed= 1.78118	MaxPSpin= 6.9061	eKin = 213.326	eGrav = 3084.85	eTot = 3298.18	
3001; time=0.6002	MaxPSpeed= 1.97182	MaxPSpin= 7.58507	eKin = 263.693	eGrav = 3034.5	eTot = 3298.19	
3101; time=0.6202	MaxPSpeed= 2.16346	MaxPSpin= 8.37668	eKin = 319.916	eGrav = 2978.34	eTot = 3298.26	
