0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 0.198131	MaxPSpin= 6.40982e-11	eKin = 4.11087	eGrav = 3362.98	eTot = 3367.09	
201; time=0.0402	MaxPSpeed= 0.39433	MaxPSpin= 0.0248211	eKin = 10.35	eGrav = 3353.57	eTot = 3363.92	
301; time=0.0602	MaxPSpeed= 0.590511	MaxPSpin= 0.0170646	eKin = 13.6314	eGrav = 3342.24	eTot = 3355.87	
400; time=0.08	MaxPSpeed= 0.552601	MaxPSpin= 0.0214895	eKin = 9.19677	eGrav = 3331.64	eTot = 3340.84	
500; time=0.1	MaxPSpeed= 0.300218	MaxPSpin= 0.0311281	eKin = 2.61696	eGrav = 3324	eTot = 3326.61	
600; time=0.12	MaxPSpeed= 0.256475	MaxPSpin= 0.0343394	eKin = 0.856837	eGrav = 3321.94	eTot = 3322.8	
700; time=0.14	MaxPSpeed= 0.44601	MaxPSpin= 0.0305045	eKin = 6.93264	eGrav = 3327.66	eTot = 3334.6	
800; time=0.16	MaxPSpeed= 0.54793	MaxPSpin= 0.0616397	eKin = 12.2571	eGrav = 3338.27	eTot = 3350.52	
900; time=0.18	MaxPSpeed= 0.670699	MaxPSpin= 0.050004	eKin = 12.4075	eGrav = 3349.53	eTot = 3361.94	
1000; time=0.2	MaxPSpeed= 0.501835	MaxPSpin= 0.136212	eKin = 6.23793	eGrav = 3358.8	eTot = 3365.04	
1100; time=0.22	MaxPSpeed= 0.305633	MaxPSpin= 0.00940153	eKin = 1.4678	eGrav = 3363.87	eTot = 3365.34	
1200; time=0.24	MaxPSpeed= 0.218638	MaxPSpin= 0.0520803	eKin = 1.56576	eGrav = 3363.6	eTot = 3365.17	
1300; time=0.26	MaxPSpeed= 0.360413	MaxPSpin= 0.00682393	eKin = 4.29887	eGrav = 3358.88	eTot = 3363.18	
1400; time=0.28	MaxPSpeed= 0.434964	MaxPSpin= 0.0254314	eKin = 6.68556	eGrav = 3351.3	eTot = 3357.99	
1501; time=0.3002	MaxPSpeed= 0.622631	MaxPSpin= 0.0273813	eKin = 8.38459	eGrav = 3342.88	eTot = 3351.26	
1601; time=0.3202	MaxPSpeed= 0.696847	MaxPSpin= 0.0168789	eKin = 8.54227	eGrav = 3336.61	eTot = 3345.15	
1701; time=0.3402	MaxPSpeed= 0.873523	MaxPSpin= 0.0501023	eKin = 8.29273	eGrav = 3332.61	eTot = 3340.91	
1801; time=0.3602	MaxPSpeed= 0.421302	MaxPSpin= 0.0176988	eKin = 5.95806	eGrav = 3329.99	eTot = 3335.95	
1901; time=0.3802	MaxPSpeed= 0.33337	MaxPSpin= 0.264955	eKin = 4.51987	eGrav = 3331.34	eTot = 3335.86	
2001; time=0.4002	MaxPSpeed= 0.452767	MaxPSpin= 0.0151453	eKin = 5.67743	eGrav = 3334.27	eTot = 3339.94	
2101; time=0.4202	MaxPSpeed= 0.614147	MaxPSpin= 0.466257	eKin = 6.37152	eGrav = 3341.38	eTot = 3347.75	
2201; time=0.4402	MaxPSpeed= 0.558987	MaxPSpin= 0.553221	eKin = 6.82722	eGrav = 3344.3	eTot = 3351.13	
2301; time=0.4602	MaxPSpeed= 0.629689	MaxPSpin= 0.274025	eKin = 5.45809	eGrav = 3344.03	eTot = 3349.48	
2401; time=0.4802	MaxPSpeed= 0.427025	MaxPSpin= 0.00975544	eKin = 3.91404	eGrav = 3341.99	eTot = 3345.9	
2501; time=0.5002	MaxPSpeed= 0.469513	MaxPSpin= 0.011439	eKin = 4.35897	eGrav = 3338.88	eTot = 3343.23	
2601; time=0.5202	MaxPSpeed= 0.460864	MaxPSpin= 0.0170585	eKin = 3.5425	eGrav = 3335.7	eTot = 3339.25	
2701; time=0.5402	MaxPSpeed= 0.563053	MaxPSpin= 0.0569783	eKin = 4.65242	eGrav = 3332.39	eTot = 3337.04	
2801; time=0.5602	MaxPSpeed= 0.643391	MaxPSpin= 0.306564	eKin = 6.19807	eGrav = 3330.26	eTot = 3336.45	
2901; time=0.5802	MaxPSpeed= 0.547511	MaxPSpin= 0.0231837	eKin = 5.85405	eGrav = 3328.17	eTot = 3334.02	
3001; time=0.6002	MaxPSpeed= 0.743709	MaxPSpin= 0.232909	eKin = 9.17148	eGrav = 3324.67	eTot = 3333.84	
3101; time=0.6202	MaxPSpeed= 0.59893	MaxPSpin= 0.0167685	eKin = 5.52126	eGrav = 3320.22	eTot = 3325.74	
3201; time=0.6402	MaxPSpeed= 0.789464	MaxPSpin= 0.0904338	eKin = 6.82867	eGrav = 3318.85	eTot = 3325.68	
3301; time=0.6602	MaxPSpeed= 0.681361	MaxPSpin= 0.997199	eKin = 9.56232	eGrav = 3316	eTot = 3325.56	
3401; time=0.6802	MaxPSpeed= 0.510484	MaxPSpin= 0.0483557	eKin = 6.20274	eGrav = 3312.26	eTot = 3318.46	
3501; time=0.7002	MaxPSpeed= 0.405751	MaxPSpin= 0.829945	eKin = 5.79013	eGrav = 3311.36	eTot = 3317.15	
3601; time=0.7202	MaxPSpeed= 0.722418	MaxPSpin= 0.577772	eKin = 9.98871	eGrav = 3306.95	eTot = 3316.94	
3701; time=0.7402	MaxPSpeed= 0.550418	MaxPSpin= 1.07222	eKin = 9.71555	eGrav = 3300.86	eTot = 3310.58	
3801; time=0.7602	MaxPSpeed= 0.570491	MaxPSpin= 0.724877	eKin = 10.3493	eGrav = 3294.69	eTot = 3305.04	
