time maxFluidSpeed
0 0
0.01005 1.15324
0.02 0.950449
0.03 0.744609
0.04 0.655693
0.05 0.582862
0.06 0.533593
0.07 0.497864
0.08005 0.439845
0.09005 0.357164
0.10005 0.375815
0.11005 0.385737
0.12005 0.38362
0.13005 0.421744
0.14005 0.443738
