time maxParticleSpeed maxParticleSpin
0 0.00100944 0.019877
0.01005 1.03419 891.436
0.02 0.674438 721.395
0.03 0.483568 482.195
0.04 0.404988 462.513
0.05 0.457782 276.022
0.06 0.39769 268.8
0.07 0.345247 250.148
0.08005 0.405585 167.57
0.09005 0.358967 126.545
0.10005 0.383481 127.437
0.11005 0.368869 117.821
0.12005 0.380994 137.867
0.13005 0.474468 110.025
0.14005 0.456712 123.346
