time meanMaxOverlap maxOverlap meanRelativeMaxOverlap maxRelativeOverlap
0 0 0 0 0
0.01005 8.4739e-06 3.26577e-05 0.00374546 0.0144508
0.02 3.26481e-06 1.79089e-05 0.00144393 0.00760464
0.03 2.20731e-06 7.07216e-06 0.000987217 0.00318566
0.04 1.87908e-06 4.26765e-06 0.000843636 0.00194781
0.05 2.049e-06 8.37881e-06 0.000907769 0.00382944
0.06 2.14027e-06 1.62538e-05 0.000956408 0.00756343
0.07 3.49189e-06 1.85401e-05 0.0015532 0.00852417
0.08005 3.9378e-06 1.97362e-05 0.00175387 0.00902431
0.09005 1.80429e-06 5.69928e-06 0.000788803 0.00243247
0.10005 4.06969e-06 1.36062e-05 0.00180995 0.00600184
0.11005 1.85841e-06 8.31367e-06 0.000819803 0.00365597
0.12005 4.99285e-06 4.42959e-05 0.00224291 0.0206508
0.13005 4.00485e-06 2.43057e-05 0.00176769 0.0108122
0.14005 3.99483e-06 2.52636e-05 0.00178316 0.0116101
