0 0	0	0
0.01005 0	0	0
0.02 0	0	0
0.03 0	0	0
0.04 0	0	0
0.05 0	0	0
0.06 0	0	0
0.07 0	0	0
0.08005 0	0	0
0.09005 0	0	0
0.10005 0	0	0
0.11005 0	0	0
0.12005 0	0	0
0.13005 0	0	0
0.14005 0	0	0
0.15005 0	0	0
0.16005 0	0	0
0.17005 0	0	0
0.18005 0	0	0
0.19005 0	0	0
0.20005 0	0	0
0.21005 0	0	0
0.22005 0	0	0
0.23005 0	0	0
0.24005 0	0	0
0.25005 0	0	0
0.26005 0	0	0
0.27005 0	0	0
0.28005 0	0	0
0.29005 0	0	0
0.30005 0	0	0
0.31005 0	0	0
0.32005 0	0	0
0.33005 0	0	0
0.34005 0	0	0
0.35005 0	0	0
0.36005 0	0	0
0.37005 0	0	0
0.38005 0	0	0
0.39005 0	0	0
0.40005 0	0	0
0.41005 0	0	0
0.42005 0	0	0
0.43005 0	0	0
0.44005 0	0	0
0.45005 0	0	0
0.46005 0	0	0
0.47005 0	0	0
0.48005 0	0	0
0.49005 0	0	0
0.50005 0	0	0
0.51005 0	0	0
0.52005 0	0	0
0.53005 0	0	0
0.54005 0	0	0
0.55005 0	0	0
0.56005 0	0	0
0.57005 0	0	0
0.58005 0	0	0
0.59005 0	0	0
0.60005 0	0	0
0.61005 0	0	0
