0; time=0	MaxPSpeed= 2	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 1.44631	MaxPSpin= 12.8546	eKin = 17.8744	eGrav = 14.1201	eTot = 31.9945	
201; time=0.0402	MaxPSpeed= 1.37233	MaxPSpin= 13.723	eKin = 17.7492	eGrav = 14.1201	eTot = 31.8693	
301; time=0.0602	MaxPSpeed= 1.34428	MaxPSpin= 13.4428	eKin = 17.0315	eGrav = 14.1201	eTot = 31.1516	
400; time=0.08	MaxPSpeed= 1.31653	MaxPSpin= 13.1653	eKin = 16.3354	eGrav = 14.1201	eTot = 30.4555	
500; time=0.1	MaxPSpeed= 1.28849	MaxPSpin= 12.8849	eKin = 15.6471	eGrav = 14.1201	eTot = 29.7672	
600; time=0.12	MaxPSpeed= 1.26045	MaxPSpin= 12.6045	eKin = 14.9735	eGrav = 14.1201	eTot = 29.0936	
700; time=0.14	MaxPSpeed= 1.23242	MaxPSpin= 12.3242	eKin = 14.3148	eGrav = 14.1201	eTot = 28.4349	
800; time=0.16	MaxPSpeed= 1.20438	MaxPSpin= 12.0438	eKin = 13.671	eGrav = 14.1201	eTot = 27.7911	
900; time=0.18	MaxPSpeed= 1.17635	MaxPSpin= 11.7635	eKin = 13.0419	eGrav = 14.1201	eTot = 27.162	
1000; time=0.2	MaxPSpeed= 1.14831	MaxPSpin= 11.4831	eKin = 12.4277	eGrav = 14.1201	eTot = 26.5478	
1100; time=0.22	MaxPSpeed= 1.12027	MaxPSpin= 11.2027	eKin = 11.8282	eGrav = 14.1201	eTot = 25.9483	
1200; time=0.24	MaxPSpeed= 1.09224	MaxPSpin= 10.9224	eKin = 11.2436	eGrav = 14.1201	eTot = 25.3637	
1300; time=0.26	MaxPSpeed= 1.0642	MaxPSpin= 10.642	eKin = 10.6738	eGrav = 14.1201	eTot = 24.794	
1400; time=0.28	MaxPSpeed= 1.03617	MaxPSpin= 10.3617	eKin = 10.1189	eGrav = 14.1201	eTot = 24.239	
1501; time=0.3002	MaxPSpeed= 1.00785	MaxPSpin= 10.0785	eKin = 9.57341	eGrav = 14.1201	eTot = 23.6935	
1601; time=0.3202	MaxPSpeed= 0.97982	MaxPSpin= 9.7982	eKin = 9.04823	eGrav = 14.1201	eTot = 23.1683	
1701; time=0.3402	MaxPSpeed= 0.951785	MaxPSpin= 9.51785	eKin = 8.53786	eGrav = 14.1201	eTot = 22.658	
1801; time=0.3602	MaxPSpeed= 0.923751	MaxPSpin= 9.23751	eKin = 8.04232	eGrav = 14.1201	eTot = 22.1624	
1901; time=0.3802	MaxPSpeed= 0.895717	MaxPSpin= 8.95717	eKin = 7.56159	eGrav = 14.1201	eTot = 21.6817	
2001; time=0.4002	MaxPSpeed= 0.867683	MaxPSpin= 8.67683	eKin = 7.09567	eGrav = 14.1201	eTot = 21.2158	
2101; time=0.4202	MaxPSpeed= 0.83965	MaxPSpin= 8.3965	eKin = 6.64458	eGrav = 14.1201	eTot = 20.7647	
2201; time=0.4402	MaxPSpeed= 0.811616	MaxPSpin= 8.11616	eKin = 6.2083	eGrav = 14.1201	eTot = 20.3284	
2301; time=0.4602	MaxPSpeed= 0.783583	MaxPSpin= 7.83583	eKin = 5.78683	eGrav = 14.1201	eTot = 19.9069	
2401; time=0.4802	MaxPSpeed= 0.75555	MaxPSpin= 7.5555	eKin = 5.38018	eGrav = 14.1201	eTot = 19.5003	
2501; time=0.5002	MaxPSpeed= 0.727517	MaxPSpin= 7.27517	eKin = 4.98835	eGrav = 14.1201	eTot = 19.1085	
