time particleCenterOfMass_X particleCenterOfMass_Y particleCenterOfMass_Z
0 0.0696671 0.005 0.0617676
0.01005 0.0707165 0.00563724 0.0622576
0.02 0.0716963 0.00791755 0.0626808
0.03 0.0725342 0.00864077 0.0626454
0.04 0.0732638 0.00975262 0.0622376
0.05 0.0739219 0.011495 0.061527
0.06 0.0745106 0.0123615 0.0605565
0.07 0.0750551 0.0127456 0.0593624
0.08005 0.0755625 0.0135142 0.0579842
0.09005 0.0760296 0.0145329 0.0564739
0.10005 0.0764547 0.0150515 0.0548443
0.11005 0.0768426 0.0159278 0.053117
0.12005 0.0772088 0.0173011 0.0513264
0.13005 0.0775491 0.0177361 0.0494715
0.14005 0.0778649 0.0185887 0.0475726
0.15005 0.0781592 0.0189035 0.0456563
0.16005 0.0784374 0.0197966 0.0437372
0.17005 0.0787041 0.0206434 0.041815
0.18005 0.0789555 0.021564 0.0399232
