time maxFluidSpeed
0 0
0.01005 1.08456
0.02 0.711638
0.03 0.603936
0.04 0.545348
0.05 0.483184
0.06 0.39588
0.07 0.385882
0.08005 0.365326
0.09005 0.342232
0.10005 0.362284
0.11005 0.353147
0.12005 0.363484
0.13005 0.414959
0.14005 0.417011
0.15005 0.435027
0.16005 0.457118
0.17005 0.462688
0.18005 0.463621
