time particleFlowRateX, particleFlowRateY, particleFlowRateZ
0 1.44982e-05 0 -2.50799e-05
0.01005 0.0403557 0.0063923 0.0248799
0.02 0.0338048 0.00328741 0.00510202
0.03 0.0286443 0.00365352 -0.00680632
0.04 0.0248394 0.00258602 -0.0189152
0.05 0.0223998 0.00169388 -0.0284129
0.06 0.0207435 0.00108362 -0.03667
0.07 0.0199382 0.00122178 -0.0439762
0.08005 0.0183501 0.000727603 -0.0476077
0.09005 0.0171238 -0.000385949 -0.0519065
0.10005 0.0160211 2.44833e-05 -0.0578608
0.11005 0.0151884 -4.63029e-05 -0.0595422
0.12005 0.0142286 0.000229572 -0.0605817
0.13005 0.0126521 0.000198172 -0.0619744
0.14005 0.0117667 0.000325961 -0.0648111
0.15005 0.010146 -0.000172813 -0.0653749
0.16005 0.00963983 -0.000593995 -0.0657424
0.17005 0.00901694 -0.00106134 -0.0642907
0.18005 0.00796122 -0.00100314 -0.0630307
