time meanMaxOverlap maxOverlap meanRelativeMaxOverlap maxRelativeOverlap
0 0 0 0 0
0.01005 6.42581e-06 3.66295e-05 0.00284844 0.016367
0.02 4.28344e-06 9.8403e-06 0.00190574 0.00421968
0.03 4.06826e-06 2.32992e-05 0.00179998 0.0105474
0.04 4.38594e-06 1.22075e-05 0.00196663 0.00544004
0.05 5.31554e-06 1.61746e-05 0.00236217 0.00738904
0.06 3.23855e-06 1.96426e-05 0.00143077 0.0087847
0.07 2.40146e-06 1.47398e-05 0.00106778 0.00662464
0.08005 4.60653e-06 2.25197e-05 0.00205181 0.010094
0.09005 5.34105e-06 1.98135e-05 0.0023556 0.00888101
0.10005 4.82605e-06 2.39513e-05 0.00215294 0.0107932
0.11005 4.10528e-06 3.82774e-05 0.0018048 0.0167957
0.12005 3.04114e-06 1.2671e-05 0.00133586 0.0058177
0.13005 2.84997e-06 1.68188e-05 0.00126172 0.00743538
0.14005 3.81052e-06 2.62318e-05 0.00168791 0.0112728
0.15005 4.6893e-06 2.95395e-05 0.00207934 0.013013
0.16005 3.7427e-06 2.29146e-05 0.00166377 0.00990687
0.17005 5.88487e-06 2.981e-05 0.00259774 0.0129159
0.18005 4.04715e-06 2.35785e-05 0.0017788 0.0107273
