time meanMaxDtOverlap maxDtOverlap meanRelativeMaxDtOverlap maxRelativeDtOverlap
0 0 0 0 0
0.01005 0.000264441 0.00872879 0.117967 3.88984
0.02 1.29057e-05 6.04508e-05 0.00574768 0.0279865
0.03 9.68727e-06 5.84011e-05 0.00431823 0.0264978
0.04 7.97049e-06 5.36049e-05 0.00354261 0.0246233
0.05 7.48093e-06 3.56978e-05 0.00332449 0.0159793
0.06 8.0646e-06 3.13962e-05 0.00358567 0.0133829
0.07 7.13597e-06 2.19204e-05 0.00316701 0.00985185
0.08005 7.01491e-06 2.95379e-05 0.00312058 0.0134385
0.09005 7.84697e-06 3.18853e-05 0.00348557 0.0141966
0.10005 7.9646e-06 3.804e-05 0.00354421 0.0175542
0.11005 8.20331e-06 3.8234e-05 0.00363681 0.0167767
0.12005 8.63512e-06 4.28921e-05 0.00383922 0.0188206
0.13005 8.08312e-06 4.62926e-05 0.00359177 0.0210612
0.14005 8.71253e-06 3.95583e-05 0.00387203 0.018146
0.15005 1.02322e-05 4.57431e-05 0.00454349 0.0208112
0.16005 1.03919e-05 3.84217e-05 0.00461535 0.0177303
0.17005 9.95395e-06 5.58437e-05 0.00442736 0.0250308
0.18005 1.11292e-05 4.39774e-05 0.0049401 0.0192799
