4101; time=0.8202	MaxPSpeed= 2.12404	MaxPSpin= 20.7466	eKin = 62.4183	eGrav = 3627.32	eTot = 3689.74	
4201; time=0.8402	MaxPSpeed= 2.24467	MaxPSpin= 20.7464	eKin = 62.7415	eGrav = 3626.73	eTot = 3689.48	
4301; time=0.8602	MaxPSpeed= 2.3754	MaxPSpin= 20.7461	eKin = 65.4408	eGrav = 3623.89	eTot = 3689.33	
4401; time=0.8802	MaxPSpeed= 2.51465	MaxPSpin= 20.7459	eKin = 68.6647	eGrav = 3619.34	eTot = 3688	
4501; time=0.9002	MaxPSpeed= 1.3151	MaxPSpin= 14.7457	eKin = 34.5561	eGrav = 3613.87	eTot = 3648.42	
4601; time=0.9202	MaxPSpeed= 1.17169	MaxPSpin= 14.7455	eKin = 27.379	eGrav = 3610.31	eTot = 3637.69	
4701; time=0.9402	MaxPSpeed= 1.05117	MaxPSpin= 14.7453	eKin = 24.0465	eGrav = 3607.66	eTot = 3631.71	
4801; time=0.9602	MaxPSpeed= 1.12815	MaxPSpin= 14.7451	eKin = 17.9816	eGrav = 3605.36	eTot = 3623.34	
4901; time=0.9802	MaxPSpeed= 1.23186	MaxPSpin= 14.745	eKin = 17.8257	eGrav = 3604.02	eTot = 3621.84	
5001; time=1.0002	MaxPSpeed= 1.35618	MaxPSpin= 14.7448	eKin = 18.8956	eGrav = 3602.1	eTot = 3621	
5101; time=1.0202	MaxPSpeed= 1.49597	MaxPSpin= 14.7446	eKin = 20.8285	eGrav = 3599.97	eTot = 3620.8	
5201; time=1.0402	MaxPSpeed= 1.64731	MaxPSpin= 14.7444	eKin = 23.3905	eGrav = 3597.43	eTot = 3620.82	
5301; time=1.0602	MaxPSpeed= 1.8073	MaxPSpin= 14.7442	eKin = 26.465	eGrav = 3594.39	eTot = 3620.86	
5401; time=1.0802	MaxPSpeed= 1.97383	MaxPSpin= 14.7441	eKin = 30.0577	eGrav = 3590.85	eTot = 3620.91	
5501; time=1.1002	MaxPSpeed= 2.14538	MaxPSpin= 14.7439	eKin = 34.1837	eGrav = 3586.8	eTot = 3620.98	
5601; time=1.1202	MaxPSpeed= 2.32084	MaxPSpin= 14.7437	eKin = 38.8632	eGrav = 3582.22	eTot = 3621.08	
5701; time=1.1402	MaxPSpeed= 1.88129	MaxPSpin= 17.9331	eKin = 34.4247	eGrav = 3578.02	eTot = 3612.45	
5801; time=1.1602	MaxPSpeed= 1.97733	MaxPSpin= 17.9329	eKin = 33.9891	eGrav = 3575.62	eTot = 3609.61	
