0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 9.24703	MaxPSpin= 1.75173	eKin = 85304.9	eGrav = 359464	eTot = 444769	
201; time=0.0402	MaxPSpeed= 5.82003	MaxPSpin= 0.806941	eKin = 42612.9	eGrav = 359277	eTot = 401890	
301; time=0.0602	MaxPSpeed= 1.05656	MaxPSpin= 0.875646	eKin = 1719.23	eGrav = 359055	eTot = 360774	
400; time=0.08	MaxPSpeed= 0.983729	MaxPSpin= 1.27219	eKin = 1243.58	eGrav = 358808	eTot = 360051	
500; time=0.1	MaxPSpeed= 1.08567	MaxPSpin= 1.23422	eKin = 1689.25	eGrav = 358361	eTot = 360050	
600; time=0.12	MaxPSpeed= 0.865017	MaxPSpin= 3.21493	eKin = 1440.54	eGrav = 357786	eTot = 359227	
700; time=0.14	MaxPSpeed= 1.04447	MaxPSpin= 4.84576	eKin = 1955.39	eGrav = 357055	eTot = 359011	
800; time=0.16	MaxPSpeed= 1.28316	MaxPSpin= 5.23538	eKin = 2736.78	eGrav = 356159	eTot = 358896	
900; time=0.18	MaxPSpeed= 1.5835	MaxPSpin= 5.25174	eKin = 3747.62	eGrav = 355086	eTot = 358833	
1000; time=0.2	MaxPSpeed= 1.80522	MaxPSpin= 5.66558	eKin = 4948.68	eGrav = 353830	eTot = 358779	
1100; time=0.22	MaxPSpeed= 2.00095	MaxPSpin= 6.36999	eKin = 6361.06	eGrav = 352387	eTot = 358748	
1200; time=0.24	MaxPSpeed= 2.19713	MaxPSpin= 7.73128	eKin = 7985.56	eGrav = 350753	eTot = 358739	
1300; time=0.26	MaxPSpeed= 2.39331	MaxPSpin= 8.50394	eKin = 9753.52	eGrav = 348926	eTot = 358679	
1400; time=0.28	MaxPSpeed= 2.67568	MaxPSpin= 8.79027	eKin = 11334.8	eGrav = 346937	eTot = 358272	
1501; time=0.3002	MaxPSpeed= 2.97067	MaxPSpin= 12.6158	eKin = 13244	eGrav = 344797	eTot = 358041	
1601; time=0.3202	MaxPSpeed= 3.16564	MaxPSpin= 12.4376	eKin = 15319	eGrav = 342525	eTot = 357844	
1701; time=0.3402	MaxPSpeed= 3.36182	MaxPSpin= 12.8544	eKin = 17277	eGrav = 340102	eTot = 357379	
1801; time=0.3602	MaxPSpeed= 3.68991	MaxPSpin= 13.8752	eKin = 19333.7	eGrav = 337556	eTot = 356890	
1901; time=0.3802	MaxPSpeed= 3.93135	MaxPSpin= 14.3568	eKin = 21552.1	eGrav = 334875	eTot = 356428	
2001; time=0.4002	MaxPSpeed= 4.12711	MaxPSpin= 14.0557	eKin = 23323	eGrav = 332076	eTot = 355399	
2101; time=0.4202	MaxPSpeed= 4.37318	MaxPSpin= 22.4947	eKin = 25457.1	eGrav = 329219	eTot = 354676	
2201; time=0.4402	MaxPSpeed= 4.57296	MaxPSpin= 21.2498	eKin = 27389	eGrav = 326280	eTot = 353669	
2301; time=0.4602	MaxPSpeed= 4.76888	MaxPSpin= 24.1875	eKin = 28389.5	eGrav = 323338	eTot = 351727	
2401; time=0.4802	MaxPSpeed= 5.2854	MaxPSpin= 22.6648	eKin = 29803.2	eGrav = 320455	eTot = 350258	
2501; time=0.5002	MaxPSpeed= 5.47547	MaxPSpin= 30.1534	eKin = 31027	eGrav = 317587	eTot = 348614	
2601; time=0.5202	MaxPSpeed= 5.96397	MaxPSpin= 28.3255	eKin = 32002.1	eGrav = 314711	eTot = 346713	
2701; time=0.5402	MaxPSpeed= 6.23581	MaxPSpin= 27.9284	eKin = 33297.1	eGrav = 311838	eTot = 345135	
2801; time=0.5602	MaxPSpeed= 6.43187	MaxPSpin= 28.709	eKin = 33478.1	eGrav = 308995	eTot = 342473	
2901; time=0.5802	MaxPSpeed= 5.8295	MaxPSpin= 28.022	eKin = 32818	eGrav = 306180	eTot = 338998	
3001; time=0.6002	MaxPSpeed= 6.12514	MaxPSpin= 27.1278	eKin = 31959.1	eGrav = 303532	eTot = 335492	
3101; time=0.6202	MaxPSpeed= 6.4579	MaxPSpin= 28.6183	eKin = 31293.2	eGrav = 301062	eTot = 332355	
3201; time=0.6402	MaxPSpeed= 6.57316	MaxPSpin= 28.1036	eKin = 30919.8	eGrav = 298719	eTot = 329638	
3301; time=0.6602	MaxPSpeed= 6.97634	MaxPSpin= 27.9611	eKin = 29529	eGrav = 296446	eTot = 325975	
3401; time=0.6802	MaxPSpeed= 7.24969	MaxPSpin= 25.9668	eKin = 27447.4	eGrav = 294306	eTot = 321753	
3501; time=0.7002	MaxPSpeed= 7.70999	MaxPSpin= 33.1684	eKin = 23724.5	eGrav = 292373	eTot = 316097	
3601; time=0.7202	MaxPSpeed= 8.16607	MaxPSpin= 42.2955	eKin = 19974.2	eGrav = 290788	eTot = 310763	
3701; time=0.7402	MaxPSpeed= 7.73173	MaxPSpin= 30.9313	eKin = 13522.2	eGrav = 289461	eTot = 302983	
3801; time=0.7602	MaxPSpeed= 7.32038	MaxPSpin= 29.3026	eKin = 7437.33	eGrav = 288550	eTot = 295988	
3901; time=0.7802	MaxPSpeed= 7.82782	MaxPSpin= 47.065	eKin = 3714.67	eGrav = 288022	eTot = 291737	
4001; time=0.8002	MaxPSpeed= 4.09917	MaxPSpin= 21.8943	eKin = 2189.14	eGrav = 287679	eTot = 289868	
4101; time=0.8202	MaxPSpeed= 2.23579	MaxPSpin= 13.1268	eKin = 1817.83	eGrav = 287391	eTot = 289209	
4201; time=0.8402	MaxPSpeed= 1.89564	MaxPSpin= 11.5531	eKin = 1806.23	eGrav = 287049	eTot = 288855	
4301; time=0.8602	MaxPSpeed= 1.97926	MaxPSpin= 11.5529	eKin = 1922.71	eGrav = 286621	eTot = 288543	
4401; time=0.8802	MaxPSpeed= 2.14568	MaxPSpin= 11.5528	eKin = 2063.16	eGrav = 286145	eTot = 288208	
