time maxFluidSpeed
0 0
0.01005 2.64804
0.02 1.88463
0.03 1.52976
0.04 1.24379
0.05 1.18759
0.06 0.943397
0.07 0.852276
0.08005 0.78096
0.09005 0.713587
0.10005 0.702245
