time collisionForces hydraulicForces
0 0 0
0.01005 2.64119 18.9883
0.02 0.530972 15.7773
0.03 0.57285 12.6401
0.04 0.390968 8.99348
0.05 0.253413 7.44434
0.06 0.231198 6.11199
0.07 0.238181 7.38221
0.08005 0.186535 4.38473
0.09005 0.108825 3.99567
0.10005 0.120421 3.69785
