0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 918
0.01005 0.292864 0 0.278765 0 0 0 307 15 270 5 196 9 81 2 30 0 3 0 0 0 0 0
0.02 0.0766542 0 0.0777281 0 0 0 547 10 277 5 66 0 12 0 1 0 0 0 0 0 0 0
0.03 0.0343579 0 0.032727 0 0 0 620 7 239 4 42 0 5 0 1 0 0 0 0 0 0 0
0.04 0.0204702 0 0.0175279 0 0 0 637 15 219 2 41 1 3 0 0 0 0 0 0 0 0 0
0.05 0.00786122 0 0.00929848 0 0 0 728 3 166 2 19 0 0 0 0 0 0 0 0 0 0 0
0.06 0.00557045 0 0.00573266 0 0 0 737 3 161 1 16 0 0 0 0 0 0 0 0 0 0 0
0.07 0.00297061 0 0.00334092 0 0 0 790 2 119 0 6 0 1 0 0 0 0 0 0 0 0 0
0.08005 0.00257847 0 0.00323018 0 0 0 801 1 110 0 6 0 0 0 0 0 0 0 0 0 0 0
0.09005 0.00286752 0 0.00324612 0 0 0 786 9 114 2 7 0 0 0 0 0 0 0 0 0 0 0
0.10005 0.00844214 0 0.0101243 0 0 0 683 11 175 2 38 3 5 0 1 0 0 0 0 0 0 0
0.11005 0.028986 0 0.0389255 0 0 0 483 5 173 10 119 13 82 6 21 1 5 0 0 0 0 0
0.12005 0.0441576 0 0.0468203 0 0 0 342 3 167 9 149 14 144 8 57 3 22 0 0 0 0 0
0.13005 0.0354106 0 0.0353931 0 0 0 313 4 158 8 188 19 128 11 71 4 13 0 1 0 0 0
0.14005 0.0243231 0 0.0277304 0 0 0 289 8 202 4 159 20 123 9 84 4 16 0 0 0 0 0
0.15005 0.0263763 0 0.0274446 0 0 0 255 1 187 7 145 16 152 17 111 3 24 0 0 0 0 0
0.16005 0.021684 0 0.0258269 0 0 0 248 2 160 4 179 15 154 20 103 4 24 0 5 0 0 0
0.17005 0.0235037 0 0.0230595 0 0 0 234 1 177 4 190 13 136 25 111 3 24 0 0 0 0 0
0.18005 0.0254144 0 0.0269504 0 0 0 226 1 163 1 167 19 156 21 130 7 23 0 4 0 0 0
