0; time=0	MaxPSpeed= 2	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 1.44631	MaxPSpin= 13.842	eKin = 18.9785	eGrav = 14.1201	eTot = 33.0986	
201; time=0.0402	MaxPSpeed= 1.42853	MaxPSpin= 14.2862	eKin = 19.2342	eGrav = 14.1201	eTot = 33.3543	
301; time=0.0602	MaxPSpeed= 1.42855	MaxPSpin= 14.2855	eKin = 19.2336	eGrav = 14.1201	eTot = 33.3537	
400; time=0.08	MaxPSpeed= 1.42854	MaxPSpin= 14.2854	eKin = 19.2334	eGrav = 14.1201	eTot = 33.3535	
500; time=0.1	MaxPSpeed= 1.42853	MaxPSpin= 14.2853	eKin = 19.2331	eGrav = 14.1201	eTot = 33.3532	
600; time=0.12	MaxPSpeed= 1.42852	MaxPSpin= 14.2852	eKin = 19.2329	eGrav = 14.1201	eTot = 33.353	
700; time=0.14	MaxPSpeed= 1.42851	MaxPSpin= 14.2851	eKin = 19.2327	eGrav = 14.1201	eTot = 33.3528	
800; time=0.16	MaxPSpeed= 1.4285	MaxPSpin= 14.285	eKin = 19.2324	eGrav = 14.1201	eTot = 33.3526	
900; time=0.18	MaxPSpeed= 1.4285	MaxPSpin= 14.285	eKin = 19.2322	eGrav = 14.1201	eTot = 33.3523	
1000; time=0.2	MaxPSpeed= 1.42849	MaxPSpin= 14.2849	eKin = 19.232	eGrav = 14.1201	eTot = 33.3521	
1100; time=0.22	MaxPSpeed= 1.42848	MaxPSpin= 14.2848	eKin = 19.2318	eGrav = 14.1201	eTot = 33.3519	
1200; time=0.24	MaxPSpeed= 1.42847	MaxPSpin= 14.2847	eKin = 19.2315	eGrav = 14.1201	eTot = 33.3516	
1300; time=0.26	MaxPSpeed= 1.42846	MaxPSpin= 14.2846	eKin = 19.2313	eGrav = 14.1201	eTot = 33.3514	
1400; time=0.28	MaxPSpeed= 1.42845	MaxPSpin= 14.2845	eKin = 19.2311	eGrav = 14.1201	eTot = 33.3512	
1501; time=0.3002	MaxPSpeed= 1.42844	MaxPSpin= 14.2844	eKin = 19.2308	eGrav = 14.1201	eTot = 33.3509	
1601; time=0.3202	MaxPSpeed= 1.42844	MaxPSpin= 14.2844	eKin = 19.2306	eGrav = 14.1201	eTot = 33.3507	
1701; time=0.3402	MaxPSpeed= 1.42843	MaxPSpin= 14.2843	eKin = 19.2304	eGrav = 14.1201	eTot = 33.3505	
1801; time=0.3602	MaxPSpeed= 1.42842	MaxPSpin= 14.2842	eKin = 19.2301	eGrav = 14.1201	eTot = 33.3502	
