0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 0.198131	MaxPSpin= 0.00247486	eKin = 112.045	eGrav = 106440	eTot = 106552	
201; time=0.0402	MaxPSpeed= 0.39433	MaxPSpin= 0.00487877	eKin = 134.468	eGrav = 106137	eTot = 106272	
301; time=0.0602	MaxPSpeed= 0.590528	MaxPSpin= 0.00687714	eKin = 9.28917	eGrav = 105936	eTot = 105945	
400; time=0.08	MaxPSpeed= 0.784764	MaxPSpin= 0.005882	eKin = 67.7658	eGrav = 106012	eTot = 106080	
500; time=0.1	MaxPSpeed= 0.980961	MaxPSpin= 0.00351925	eKin = 137.706	eGrav = 106281	eTot = 106418	
600; time=0.12	MaxPSpeed= 1.17716	MaxPSpin= 0.00147014	eKin = 33.34	eGrav = 106508	eTot = 106541	
700; time=0.14	MaxPSpeed= 1.37335	MaxPSpin= 0.0027088	eKin = 39.3429	eGrav = 106499	eTot = 106539	
800; time=0.16	MaxPSpeed= 1.56955	MaxPSpin= 0.00482635	eKin = 129.616	eGrav = 106270	eTot = 106399	
900; time=0.18	MaxPSpeed= 1.76574	MaxPSpin= 0.00596625	eKin = 62.8105	eGrav = 106024	eTot = 106087	
1000; time=0.2	MaxPSpeed= 1.96193	MaxPSpin= 0.00653841	eKin = 28.5148	eGrav = 105966	eTot = 105994	
1100; time=0.22	MaxPSpeed= 0.573162	MaxPSpin= 1.31468	eKin = 95.6914	eGrav = 106136	eTot = 106232	
1200; time=0.24	MaxPSpeed= 0.21313	MaxPSpin= 1.31467	eKin = 63.8314	eGrav = 106375	eTot = 106439	
1300; time=0.26	MaxPSpeed= 0.242967	MaxPSpin= 1.88092	eKin = 1.53316	eGrav = 106481	eTot = 106483	
1400; time=0.28	MaxPSpeed= 0.446588	MaxPSpin= 2.39805	eKin = 65.8526	eGrav = 106367	eTot = 106432	
1501; time=0.3002	MaxPSpeed= 0.313277	MaxPSpin= 2.39802	eKin = 72.6896	eGrav = 106139	eTot = 106211	
