0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
101; time=0.0202	MaxPSpeed= 0.198131	MaxPSpin= 1.6787e-13	eKin = 0.822173	eGrav = 73.4823	eTot = 74.3045	
201; time=0.0402	MaxPSpeed= 0.101577	MaxPSpin= 0.00026589	eKin = 0.194445	eGrav = 73.4448	eTot = 73.6393	
301; time=0.0602	MaxPSpeed= 0.116926	MaxPSpin= 0.000100569	eKin = 0.236438	eGrav = 73.2986	eTot = 73.5351	
400; time=0.08	MaxPSpeed= 0.221595	MaxPSpin= 0.00108337	eKin = 0.484367	eGrav = 72.8515	eTot = 73.3359	
500; time=0.1	MaxPSpeed= 0.17953	MaxPSpin= 0.00142647	eKin = 0.631729	eGrav = 72.5987	eTot = 73.2305	
600; time=0.12	MaxPSpeed= 0.214342	MaxPSpin= 0.000520398	eKin = 0.911799	eGrav = 72.2663	eTot = 73.1781	
700; time=0.14	MaxPSpeed= 0.253943	MaxPSpin= 0.000473682	eKin = 1.28481	eGrav = 71.8513	eTot = 73.1361	
800; time=0.16	MaxPSpeed= 0.292959	MaxPSpin= 0.000443359	eKin = 1.75563	eGrav = 71.3364	eTot = 73.092	
900; time=0.18	MaxPSpeed= 0.344505	MaxPSpin= 0.000423761	eKin = 2.34349	eGrav = 70.6989	eTot = 73.0424	
1000; time=0.2	MaxPSpeed= 0.425226	MaxPSpin= 0.000410973	eKin = 3.07611	eGrav = 69.9116	eTot = 72.9877	
1100; time=0.22	MaxPSpeed= 0.526365	MaxPSpin= 0.000400211	eKin = 3.99119	eGrav = 68.9385	eTot = 72.9297	
1200; time=0.24	MaxPSpeed= 0.654751	MaxPSpin= 0.000389514	eKin = 5.14026	eGrav = 67.7312	eTot = 72.8715	
1300; time=0.26	MaxPSpeed= 0.819606	MaxPSpin= 0.000381083	eKin = 6.59443	eGrav = 66.2248	eTot = 72.8193	
1400; time=0.28	MaxPSpeed= 1.01487	MaxPSpin= 0.000379715	eKin = 8.43424	eGrav = 64.3414	eTot = 72.7757	
1501; time=0.3002	MaxPSpeed= 1.21303	MaxPSpin= 0.000380449	eKin = 10.7021	eGrav = 62.0298	eTot = 72.7319	
1601; time=0.3202	MaxPSpeed= 1.40922	MaxPSpin= 0.000380532	eKin = 13.3529	eGrav = 59.336	eTot = 72.6889	
1701; time=0.3402	MaxPSpeed= 1.02486	MaxPSpin= 0.0130312	eKin = 8.41165	eGrav = 56.2778	eTot = 64.6894	
1801; time=0.3602	MaxPSpeed= 0.87706	MaxPSpin= 0.00174455	eKin = 6.89748	eGrav = 57.862	eTot = 64.7595	
1901; time=0.3802	MaxPSpeed= 0.680858	MaxPSpin= 0.00174453	eKin = 5.25498	eGrav = 59.4625	eTot = 64.7175	
