0; time=0	MaxPSpeed= 0	MaxPSpin= 0	eKin = 0	eGrav = 0	eTot = 0	
4801; time=0.9602	MaxPSpeed= 2.5532	MaxPSpin= 15.2443	eKin = 2306.81	eGrav = 284101	eTot = 286408	
4901; time=0.9802	MaxPSpeed= 2.68943	MaxPSpin= 15.2441	eKin = 2255.28	eGrav = 283685	eTot = 285941	
5001; time=1.0002	MaxPSpeed= 2.83271	MaxPSpin= 15.2439	eKin = 2138.28	eGrav = 283290	eTot = 285428	
5101; time=1.0202	MaxPSpeed= 2.49948	MaxPSpin= 11.6278	eKin = 1999.09	eGrav = 282922	eTot = 284921	
5201; time=1.0402	MaxPSpeed= 2.586	MaxPSpin= 10.8032	eKin = 1949.74	eGrav = 282581	eTot = 284531	
5301; time=1.0602	MaxPSpeed= 2.69322	MaxPSpin= 14.7248	eKin = 1848.16	eGrav = 282256	eTot = 284104	
5401; time=1.0802	MaxPSpeed= 2.81006	MaxPSpin= 20.6706	eKin = 1740.13	eGrav = 281963	eTot = 283703	
5501; time=1.1002	MaxPSpeed= 2.56032	MaxPSpin= 15.7585	eKin = 1606.31	eGrav = 281698	eTot = 283304	
5601; time=1.1202	MaxPSpeed= 2.65847	MaxPSpin= 14.6995	eKin = 1523.54	eGrav = 281440	eTot = 282963	
5701; time=1.1402	MaxPSpeed= 2.65591	MaxPSpin= 15.4703	eKin = 1415.45	eGrav = 281186	eTot = 282602	
5801; time=1.1602	MaxPSpeed= 2.75991	MaxPSpin= 15.4426	eKin = 1312.7	eGrav = 280939	eTot = 282252	
5901; time=1.1802	MaxPSpeed= 2.78261	MaxPSpin= 15.4424	eKin = 1166.15	eGrav = 280705	eTot = 281871	
6001; time=1.2002	MaxPSpeed= 2.93738	MaxPSpin= 15.4423	eKin = 1100.57	eGrav = 280509	eTot = 281610	
6101; time=1.2202	MaxPSpeed= 3.09685	MaxPSpin= 15.4421	eKin = 987.12	eGrav = 280338	eTot = 281325	
6201; time=1.2402	MaxPSpeed= 3.05002	MaxPSpin= 17.4786	eKin = 864.871	eGrav = 280175	eTot = 281040	
6301; time=1.2602	MaxPSpeed= 3.1739	MaxPSpin= 17.4784	eKin = 706.522	eGrav = 280035	eTot = 280742	
6401; time=1.2802	MaxPSpeed= 3.30479	MaxPSpin= 17.4782	eKin = 622.742	eGrav = 279927	eTot = 280550	
6501; time=1.3002	MaxPSpeed= 2.20885	MaxPSpin= 23.0019	eKin = 486.181	eGrav = 279845	eTot = 280331	
6601; time=1.3202	MaxPSpeed= 2.37857	MaxPSpin= 22.6057	eKin = 446.875	eGrav = 279787	eTot = 280234	
6701; time=1.3402	MaxPSpeed= 1.92036	MaxPSpin= 22.797	eKin = 391.042	eGrav = 279740	eTot = 280131	
6801; time=1.3602	MaxPSpeed= 2.02172	MaxPSpin= 21.6988	eKin = 371.65	eGrav = 279690	eTot = 280061	
6901; time=1.3802	MaxPSpeed= 1.99184	MaxPSpin= 13.1423	eKin = 289.331	eGrav = 279630	eTot = 279919	
7001; time=1.4002	MaxPSpeed= 1.94804	MaxPSpin= 12.0628	eKin = 266.368	eGrav = 279579	eTot = 279845	
7101; time=1.4202	MaxPSpeed= 2.02222	MaxPSpin= 12.4643	eKin = 254.878	eGrav = 279541	eTot = 279796	
7201; time=1.4402	MaxPSpeed= 1.99917	MaxPSpin= 12.0625	eKin = 233.431	eGrav = 279500	eTot = 279733	
7301; time=1.4602	MaxPSpeed= 2.13346	MaxPSpin= 11.7008	eKin = 193.691	eGrav = 279458	eTot = 279652	
7401; time=1.4802	MaxPSpeed= 2.27675	MaxPSpin= 13.4411	eKin = 166.761	eGrav = 279425	eTot = 279591	
7501; time=1.5002	MaxPSpeed= 2.42745	MaxPSpin= 13.9011	eKin = 173.491	eGrav = 279402	eTot = 279576	
7601; time=1.5202	MaxPSpeed= 2.29894	MaxPSpin= 13.4443	eKin = 140.742	eGrav = 279384	eTot = 279524	
7701; time=1.5402	MaxPSpeed= 1.42375	MaxPSpin= 13.4881	eKin = 116.339	eGrav = 279371	eTot = 279487	
7801; time=1.5602	MaxPSpeed= 0.933201	MaxPSpin= 13.0983	eKin = 97.5918	eGrav = 279364	eTot = 279462	
7901; time=1.5802	MaxPSpeed= 0.945108	MaxPSpin= 13.0899	eKin = 102.679	eGrav = 279356	eTot = 279458	
8001; time=1.6002	MaxPSpeed= 1.04389	MaxPSpin= 11.622	eKin = 101.139	eGrav = 279343	eTot = 279444	
8101; time=1.6202	MaxPSpeed= 0.994947	MaxPSpin= 11.1458	eKin = 96.6451	eGrav = 279329	eTot = 279426	
8201; time=1.6402	MaxPSpeed= 1.06621	MaxPSpin= 11.3788	eKin = 87.5019	eGrav = 279316	eTot = 279404	
8301; time=1.6602	MaxPSpeed= 1.19218	MaxPSpin= 11.9704	eKin = 79.344	eGrav = 279308	eTot = 279388	
8401; time=1.6802	MaxPSpeed= 1.34324	MaxPSpin= 12.5426	eKin = 80.8263	eGrav = 279304	eTot = 279385	
8501; time=1.7002	MaxPSpeed= 1.15506	MaxPSpin= 12.905	eKin = 70.5579	eGrav = 279299	eTot = 279369	
8601; time=1.7202	MaxPSpeed= 1.3127	MaxPSpin= 12.9055	eKin = 70.4098	eGrav = 279295	eTot = 279365	
8701; time=1.7402	MaxPSpeed= 1.47958	MaxPSpin= 12.9054	eKin = 71.2583	eGrav = 279289	eTot = 279360	
8801; time=1.7602	MaxPSpeed= 1.65292	MaxPSpin= 9.98898	eKin = 72.8656	eGrav = 279285	eTot = 279358	
8901; time=1.7802	MaxPSpeed= 1.09245	MaxPSpin= 7.97856	eKin = 60.7752	eGrav = 279287	eTot = 279347	
9001; time=1.8002	MaxPSpeed= 0.972988	MaxPSpin= 9.81231	eKin = 45.8888	eGrav = 279290	eTot = 279336	
9101; time=1.8202	MaxPSpeed= 1.05098	MaxPSpin= 9.8122	eKin = 42.2643	eGrav = 279292	eTot = 279334	
9201; time=1.8402	MaxPSpeed= 1.16785	MaxPSpin= 9.68791	eKin = 41.3239	eGrav = 279294	eTot = 279335	
9301; time=1.8602	MaxPSpeed= 1.30396	MaxPSpin= 9.73288	eKin = 40.3708	eGrav = 279297	eTot = 279337	
9401; time=1.8802	MaxPSpeed= 1.45386	MaxPSpin= 9.9126	eKin = 45.8099	eGrav = 279303	eTot = 279349	
9501; time=1.9002	MaxPSpeed= 1.61372	MaxPSpin= 9.9655	eKin = 51.3501	eGrav = 279310	eTot = 279362	
9601; time=1.9202	MaxPSpeed= 1.24391	MaxPSpin= 9.99901	eKin = 55.5837	eGrav = 279317	eTot = 279373	
9701; time=1.9402	MaxPSpeed= 1.36011	MaxPSpin= 10.1277	eKin = 61.5546	eGrav = 279327	eTot = 279388	
9801; time=1.9602	MaxPSpeed= 1.49552	MaxPSpin= 10.1415	eKin = 59.2951	eGrav = 279339	eTot = 279398	
9901; time=1.9802	MaxPSpeed= 1.64371	MaxPSpin= 10.1413	eKin = 62.9733	eGrav = 279349	eTot = 279412	
10001; time=2.0002	MaxPSpeed= 1.36141	MaxPSpin= 12.3927	eKin = 57.8838	eGrav = 279354	eTot = 279412	
10101; time=2.0202	MaxPSpeed= 1.49907	MaxPSpin= 9.7911	eKin = 46.4607	eGrav = 279359	eTot = 279406	
10201; time=2.0402	MaxPSpeed= 1.64862	MaxPSpin= 9.79098	eKin = 52.2586	eGrav = 279368	eTot = 279420	
10301; time=2.0602	MaxPSpeed= 1.22772	MaxPSpin= 12.298	eKin = 46.3149	eGrav = 279378	eTot = 279424	
10401; time=2.0802	MaxPSpeed= 1.3002	MaxPSpin= 12.2978	eKin = 37.534	eGrav = 279388	eTot = 279425	
10501; time=2.1002	MaxPSpeed= 1.39668	MaxPSpin= 12.2977	eKin = 41.9985	eGrav = 279399	eTot = 279441	
10601; time=2.1202	MaxPSpeed= 1.51258	MaxPSpin= 12.2975	eKin = 58.633	eGrav = 279412	eTot = 279471	
10701; time=2.1402	MaxPSpeed= 1.6438	MaxPSpin= 12.2974	eKin = 76.7459	eGrav = 279430	eTot = 279507	
10801; time=2.1602	MaxPSpeed= 0.891617	MaxPSpin= 8.7866	eKin = 86.4176	eGrav = 279453	eTot = 279540	
10901; time=2.1802	MaxPSpeed= 0.881335	MaxPSpin= 14.1909	eKin = 97.5653	eGrav = 279477	eTot = 279575	
11001; time=2.2002	MaxPSpeed= 0.948018	MaxPSpin= 13.3574	eKin = 105.646	eGrav = 279494	eTot = 279600	
11101; time=2.2202	MaxPSpeed= 1.04772	MaxPSpin= 13.9372	eKin = 98.3416	eGrav = 279508	eTot = 279606	
11201; time=2.2402	MaxPSpeed= 1.17204	MaxPSpin= 13.3568	eKin = 119.674	eGrav = 279523	eTot = 279642	
11301; time=2.2602	MaxPSpeed= 1.07486	MaxPSpin= 10.6885	eKin = 116.268	eGrav = 279540	eTot = 279656	
11401; time=2.2802	MaxPSpeed= 1.12803	MaxPSpin= 8.36565	eKin = 86.2617	eGrav = 279555	eTot = 279641	
11501; time=2.3002	MaxPSpeed= 1.22922	MaxPSpin= 9.81293	eKin = 77.9044	eGrav = 279561	eTot = 279639	
11601; time=2.3202	MaxPSpeed= 1.35147	MaxPSpin= 8.36545	eKin = 75.5983	eGrav = 279560	eTot = 279635	
11701; time=2.3402	MaxPSpeed= 1.48962	MaxPSpin= 8.36535	eKin = 68.1422	eGrav = 279551	eTot = 279619	
11801; time=2.3602	MaxPSpeed= 1.55518	MaxPSpin= 9.91642	eKin = 71.3345	eGrav = 279534	eTot = 279605	
11901; time=2.3802	MaxPSpeed= 1.70166	MaxPSpin= 9.9163	eKin = 72.7825	eGrav = 279511	eTot = 279584	
12001; time=2.4002	MaxPSpeed= 1.85733	MaxPSpin= 9.91618	eKin = 68.7854	eGrav = 279485	eTot = 279554	
12101; time=2.4202	MaxPSpeed= 2.02008	MaxPSpin= 9.91606	eKin = 67.2944	eGrav = 279462	eTot = 279529	
12201; time=2.4402	MaxPSpeed= 1.41507	MaxPSpin= 11.2383	eKin = 53.9537	eGrav = 279443	eTot = 279497	
12301; time=2.4602	MaxPSpeed= 1.30118	MaxPSpin= 12.6378	eKin = 45.7753	eGrav = 279427	eTot = 279473	
12401; time=2.4802	MaxPSpeed= 1.37633	MaxPSpin= 13.034	eKin = 37.6092	eGrav = 279414	eTot = 279452	
12501; time=2.5002	MaxPSpeed= 1.48994	MaxPSpin= 13.0338	eKin = 33.4743	eGrav = 279404	eTot = 279438	
12601; time=2.5202	MaxPSpeed= 0.334675	MaxPSpin= 4.79478	eKin = 14.2711	eGrav = 279394	eTot = 279409	
12701; time=2.5402	MaxPSpeed= 0.367277	MaxPSpin= 4.03524	eKin = 13.4005	eGrav = 279385	eTot = 279399	
12801; time=2.5602	MaxPSpeed= 0.398335	MaxPSpin= 4.44204	eKin = 13.8554	eGrav = 279378	eTot = 279392	
12901; time=2.5802	MaxPSpeed= 0.454112	MaxPSpin= 4.74689	eKin = 14.7432	eGrav = 279372	eTot = 279387	
13001; time=2.6002	MaxPSpeed= 0.404669	MaxPSpin= 5.15614	eKin = 12.1388	eGrav = 279368	eTot = 279381	
13101; time=2.6202	MaxPSpeed= 0.459403	MaxPSpin= 5.45488	eKin = 14.447	eGrav = 279366	eTot = 279380	
13201; time=2.6402	MaxPSpeed= 0.296786	MaxPSpin= 4.37073	eKin = 16.8811	eGrav = 279362	eTot = 279379	
13301; time=2.6602	MaxPSpeed= 0.502113	MaxPSpin= 6.17125	eKin = 24.1377	eGrav = 279358	eTot = 279383	
13401; time=2.6802	MaxPSpeed= 0.805145	MaxPSpin= 9.53728	eKin = 44.7973	eGrav = 279359	eTot = 279404	
13501; time=2.7002	MaxPSpeed= 0.896606	MaxPSpin= 10.474	eKin = 69.6322	eGrav = 279365	eTot = 279435	
13601; time=2.7202	MaxPSpeed= 0.736831	MaxPSpin= 11.2822	eKin = 98.1673	eGrav = 279377	eTot = 279475	
13701; time=2.7402	MaxPSpeed= 0.546888	MaxPSpin= 5.84046	eKin = 73.6428	eGrav = 279393	eTot = 279466	
13801; time=2.7602	MaxPSpeed= 0.644798	MaxPSpin= 5.9821	eKin = 59.9974	eGrav = 279403	eTot = 279463	
13901; time=2.7802	MaxPSpeed= 0.458174	MaxPSpin= 4.18071	eKin = 32.9277	eGrav = 279402	eTot = 279435	
14001; time=2.8002	MaxPSpeed= 0.63556	MaxPSpin= 3.30897	eKin = 23.6984	eGrav = 279392	eTot = 279416	
14101; time=2.8202	MaxPSpeed= 0.824816	MaxPSpin= 3.96049	eKin = 20.4145	eGrav = 279375	eTot = 279395	
14201; time=2.8402	MaxPSpeed= 0.931341	MaxPSpin= 4.55225	eKin = 19.3551	eGrav = 279357	eTot = 279376	
14301; time=2.8602	MaxPSpeed= 0.568378	MaxPSpin= 5.0815	eKin = 15.8443	eGrav = 279346	eTot = 279361	
14401; time=2.8802	MaxPSpeed= 0.486067	MaxPSpin= 5.54703	eKin = 14.1398	eGrav = 279341	eTot = 279355	
14501; time=2.9002	MaxPSpeed= 0.359315	MaxPSpin= 6.17348	eKin = 11.8412	eGrav = 279338	eTot = 279350	
14601; time=2.9202	MaxPSpeed= 0.48077	MaxPSpin= 4.40863	eKin = 11.2952	eGrav = 279337	eTot = 279348	
14701; time=2.9402	MaxPSpeed= 0.650114	MaxPSpin= 4.55923	eKin = 14.7811	eGrav = 279336	eTot = 279351	
14801; time=2.9602	MaxPSpeed= 0.439755	MaxPSpin= 4.38638	eKin = 16.7738	eGrav = 279334	eTot = 279351	
14901; time=2.9802	MaxPSpeed= 0.360095	MaxPSpin= 3.81527	eKin = 15.6084	eGrav = 279331	eTot = 279347	
15001; time=3.0002	MaxPSpeed= 0.409231	MaxPSpin= 4.27906	eKin = 17.1285	eGrav = 279328	eTot = 279345	
15101; time=3.0202	MaxPSpeed= 0.463274	MaxPSpin= 4.91461	eKin = 17.3952	eGrav = 279325	eTot = 279343	
15201; time=3.0402	MaxPSpeed= 0.525355	MaxPSpin= 5.61349	eKin = 17.6061	eGrav = 279324	eTot = 279341	
15301; time=3.0602	MaxPSpeed= 0.5646	MaxPSpin= 6.17487	eKin = 19.8802	eGrav = 279324	eTot = 279343	
15401; time=3.0802	MaxPSpeed= 0.641044	MaxPSpin= 6.8802	eKin = 21.5295	eGrav = 279325	eTot = 279346	
15501; time=3.1002	MaxPSpeed= 0.732636	MaxPSpin= 7.62233	eKin = 20.8193	eGrav = 279328	eTot = 279349	
15601; time=3.1202	MaxPSpeed= 0.444359	MaxPSpin= 4.5948	eKin = 15.1675	eGrav = 279331	eTot = 279346	
15701; time=3.1402	MaxPSpeed= 0.540564	MaxPSpin= 5.50501	eKin = 17.4861	eGrav = 279334	eTot = 279352	
15801; time=3.1602	MaxPSpeed= 0.463798	MaxPSpin= 6.25716	eKin = 19.1324	eGrav = 279337	eTot = 279356	
15901; time=3.1802	MaxPSpeed= 0.554275	MaxPSpin= 7.06355	eKin = 23.0301	eGrav = 279337	eTot = 279360	
16001; time=3.2002	MaxPSpeed= 0.652338	MaxPSpin= 8.00004	eKin = 20.6866	eGrav = 279336	eTot = 279357	
16101; time=3.2202	MaxPSpeed= 0.759067	MaxPSpin= 7.8404	eKin = 15.3843	eGrav = 279336	eTot = 279351	
16201; time=3.2402	MaxPSpeed= 0.253576	MaxPSpin= 4.31945	eKin = 8.57635	eGrav = 279337	eTot = 279346	
16301; time=3.2602	MaxPSpeed= 0.297207	MaxPSpin= 3.28292	eKin = 8.38465	eGrav = 279340	eTot = 279349	
16401; time=3.2802	MaxPSpeed= 0.372717	MaxPSpin= 3.82168	eKin = 9.17257	eGrav = 279343	eTot = 279352	
16501; time=3.3002	MaxPSpeed= 0.51911	MaxPSpin= 7.43781	eKin = 27.5683	eGrav = 279346	eTot = 279373	
16601; time=3.3202	MaxPSpeed= 0.880954	MaxPSpin= 9.38961	eKin = 46.8249	eGrav = 279347	eTot = 279394	
16701; time=3.3402	MaxPSpeed= 0.623455	MaxPSpin= 5.3025	eKin = 35.3989	eGrav = 279346	eTot = 279381	
16801; time=3.3602	MaxPSpeed= 0.417612	MaxPSpin= 5.66631	eKin = 34.1647	eGrav = 279346	eTot = 279380	
16901; time=3.3802	MaxPSpeed= 0.440799	MaxPSpin= 4.47388	eKin = 30.9749	eGrav = 279346	eTot = 279377	
17001; time=3.4002	MaxPSpeed= 0.576207	MaxPSpin= 4.73514	eKin = 37.1524	eGrav = 279343	eTot = 279380	
17101; time=3.4202	MaxPSpeed= 0.749211	MaxPSpin= 5.21714	eKin = 47.3769	eGrav = 279335	eTot = 279382	
17201; time=3.4402	MaxPSpeed= 0.936686	MaxPSpin= 4.96074	eKin = 50.6022	eGrav = 279326	eTot = 279377	
17301; time=3.4602	MaxPSpeed= 0.657983	MaxPSpin= 9.64828	eKin = 58.926	eGrav = 279320	eTot = 279379	
17401; time=3.4802	MaxPSpeed= 0.709103	MaxPSpin= 4.29206	eKin = 43.721	eGrav = 279321	eTot = 279364	
17501; time=3.5002	MaxPSpeed= 0.773036	MaxPSpin= 5.04615	eKin = 39.3637	eGrav = 279320	eTot = 279359	
17601; time=3.5202	MaxPSpeed= 0.682199	MaxPSpin= 5.99809	eKin = 34.5118	eGrav = 279311	eTot = 279346	
17701; time=3.5402	MaxPSpeed= 0.612994	MaxPSpin= 4.73846	eKin = 28.5059	eGrav = 279303	eTot = 279332	
17801; time=3.5602	MaxPSpeed= 0.526472	MaxPSpin= 5.06809	eKin = 24.1169	eGrav = 279297	eTot = 279321	
17901; time=3.5802	MaxPSpeed= 0.544778	MaxPSpin= 5.76869	eKin = 20.9148	eGrav = 279292	eTot = 279313	
18001; time=3.6002	MaxPSpeed= 0.615914	MaxPSpin= 6.54832	eKin = 19.2826	eGrav = 279292	eTot = 279311	
18101; time=3.6202	MaxPSpeed= 2.6677	MaxPSpin= 7.24893	eKin = 81.6227	eGrav = 279296	eTot = 279377	
18201; time=3.6402	MaxPSpeed= 1.08066	MaxPSpin= 7.40558	eKin = 49.725	eGrav = 279299	eTot = 279349	
18301; time=3.6602	MaxPSpeed= 0.791321	MaxPSpin= 6.97358	eKin = 27.8863	eGrav = 279300	eTot = 279328	
18401; time=3.6802	MaxPSpeed= 0.694135	MaxPSpin= 7.64401	eKin = 29.525	eGrav = 279301	eTot = 279330	
18501; time=3.7002	MaxPSpeed= 0.788209	MaxPSpin= 8.36487	eKin = 28.3936	eGrav = 279310	eTot = 279338	
18601; time=3.7202	MaxPSpeed= 0.388613	MaxPSpin= 5.0469	eKin = 29.5234	eGrav = 279324	eTot = 279353	
18701; time=3.7402	MaxPSpeed= 0.409939	MaxPSpin= 7.47931	eKin = 47.9554	eGrav = 279343	eTot = 279391	
18801; time=3.7602	MaxPSpeed= 1.02264	MaxPSpin= 11.1286	eKin = 99.7737	eGrav = 279366	eTot = 279466	
18901; time=3.7802	MaxPSpeed= 0.881098	MaxPSpin= 9.05776	eKin = 130.854	eGrav = 279393	eTot = 279524	
19001; time=3.8002	MaxPSpeed= 1.26065	MaxPSpin= 13.6172	eKin = 209.508	eGrav = 279428	eTot = 279637	
19101; time=3.8202	MaxPSpeed= 1.53709	MaxPSpin= 13.1758	eKin = 260.182	eGrav = 279472	eTot = 279732	
19201; time=3.8402	MaxPSpeed= 1.59265	MaxPSpin= 11.0201	eKin = 240.406	eGrav = 279524	eTot = 279765	
19301; time=3.8602	MaxPSpeed= 1.40889	MaxPSpin= 12.767	eKin = 208.268	eGrav = 279572	eTot = 279780	
